id_pedido,fecha_hora,zona_destino,distancia_km,valor_pedido,clima,dia_semana,prioridad
1,2024-03-01 00:19:06,Parque Centenario,1.26,18700,normal,viernes,normal
2,2024-03-01 00:27:42,Colegiales,1.8,14800,normal,viernes,express
3,2024-03-01 00:32:47,Colegiales,2.1,7000,normal,viernes,normal
4,2024-03-01 00:35:44,Caballito,2.52,18500,normal,viernes,normal
5,2024-03-01 00:38:16,Villa Crespo,0.49,10200,normal,viernes,normal
6,2024-03-01 00:42:43,Almagro,1.03,23100,normal,viernes,normal
7,2024-03-01 00:47:36,Once,1.62,20200,normal,viernes,normal
8,2024-03-01 00:53:44,Villa Ortuzar,1.18,9200,normal,viernes,express
9,2024-03-01 01:02:19,Palermo,2.33,12100,normal,viernes,normal
10,2024-03-01 01:24:45,Parque Centenario,1.17,20300,normal,viernes,express
11,2024-03-01 01:34:18,Almagro,0.72,17300,normal,viernes,normal
12,2024-03-01 01:36:57,Almagro,0.61,16800,normal,viernes,normal
13,2024-03-01 01:38:19,Paternal,1.79,22300,normal,viernes,normal
14,2024-03-01 01:43:49,Colegiales,2.29,18600,normal,viernes,normal
15,2024-03-01 01:59:04,Caballito,1.94,16000,normal,viernes,express
16,2024-03-01 05:37:39,Colegiales,1.54,9700,normal,viernes,normal
17,2024-03-01 09:49:43,Parque Centenario,1.41,20200,normal,viernes,normal
18,2024-03-01 10:01:34,Caballito,2.62,20000,normal,viernes,normal
19,2024-03-01 10:17:40,Chacarita,1.72,22900,normal,viernes,normal
20,2024-03-01 11:32:26,Villa Crespo,1.03,15800,normal,viernes,express
21,2024-03-01 11:33:59,Palermo,2.74,15000,normal,viernes,normal
22,2024-03-01 11:37:48,Villa Crespo,0.3,15300,normal,viernes,normal
23,2024-03-01 11:40:50,Almagro,0.7,9300,normal,viernes,express
24,2024-03-01 11:44:01,Colegiales,2.6,19900,normal,viernes,express
25,2024-03-01 11:46:43,Parque Centenario,0.94,11200,normal,viernes,normal
26,2024-03-01 11:49:27,Palermo,2.27,11600,normal,viernes,express
27,2024-03-01 11:53:41,Almagro,0.54,23200,normal,viernes,normal
28,2024-03-01 12:01:33,Villa Ortuzar,1.43,26100,normal,viernes,normal
29,2024-03-01 12:04:38,Caballito,2.54,8900,normal,viernes,normal
30,2024-03-01 12:07:42,Villa Crespo,0.52,22100,normal,viernes,normal
31,2024-03-01 12:21:28,Parque Centenario,1.48,10100,normal,viernes,normal
32,2024-03-01 12:28:29,Palermo,2.22,11700,normal,viernes,normal
33,2024-03-01 12:30:57,Caballito,2.24,19900,normal,viernes,normal
34,2024-03-01 12:56:21,Almagro,1.24,20400,normal,viernes,normal
35,2024-03-01 13:10:26,Chacarita,1.15,12800,normal,viernes,normal
36,2024-03-01 13:12:36,Almagro,0.68,16000,normal,viernes,normal
37,2024-03-01 13:24:49,Colegiales,1.68,16700,normal,viernes,normal
38,2024-03-01 13:34:19,Once,1.19,20900,normal,viernes,normal
39,2024-03-01 13:35:36,Palermo,2.39,11900,normal,viernes,normal
40,2024-03-01 13:53:38,Colegiales,1.94,19200,normal,viernes,normal
41,2024-03-01 14:02:52,Caballito,1.84,19400,normal,viernes,normal
42,2024-03-01 14:08:44,Paternal,0.96,13700,normal,viernes,normal
43,2024-03-01 14:16:50,Paternal,1.49,7000,normal,viernes,normal
44,2024-03-01 14:23:44,Almagro,0.79,13300,normal,viernes,normal
45,2024-03-01 14:24:25,Parque Centenario,1.61,17000,normal,viernes,normal
46,2024-03-01 14:45:24,Villa Crespo,0.3,25000,normal,viernes,normal
47,2024-03-01 14:47:24,Chacarita,0.88,17400,normal,viernes,normal
48,2024-03-01 14:50:40,Once,1.65,25700,normal,viernes,express
49,2024-03-01 15:45:15,Parque Centenario,2.09,21800,normal,viernes,express
50,2024-03-01 16:43:42,Villa Ortuzar,1.65,10200,normal,viernes,normal
51,2024-03-01 16:45:17,Parque Centenario,1.58,26200,normal,viernes,normal
52,2024-03-01 16:59:15,Once,1.23,12000,normal,viernes,express
53,2024-03-01 17:26:09,Villa Crespo,0.54,12600,normal,viernes,normal
54,2024-03-01 17:43:04,Chacarita,1.21,13300,normal,viernes,normal
55,2024-03-01 17:47:17,Palermo,2.22,28000,normal,viernes,normal
56,2024-03-01 18:09:05,Caballito,1.88,18000,normal,viernes,normal
57,2024-03-01 18:22:27,Almagro,0.46,11800,normal,viernes,normal
58,2024-03-01 18:42:32,Almagro,1.09,17300,normal,viernes,normal
59,2024-03-01 19:09:04,Almagro,0.62,12000,normal,viernes,express
60,2024-03-01 19:18:04,Once,1.41,20100,normal,viernes,normal
61,2024-03-01 19:21:46,Caballito,2.56,20900,normal,viernes,express
62,2024-03-01 19:24:18,Palermo,2.03,18900,normal,viernes,normal
63,2024-03-01 19:29:55,Villa Crespo,0.34,18000,normal,viernes,normal
64,2024-03-01 19:30:56,Caballito,2.05,22800,normal,viernes,normal
65,2024-03-01 19:39:02,Almagro,0.3,17100,normal,viernes,normal
66,2024-03-01 19:41:18,Chacarita,1.06,13200,normal,viernes,normal
67,2024-03-01 19:41:59,Almagro,0.92,23500,normal,viernes,normal
68,2024-03-01 19:44:19,Villa Crespo,0.7,17600,normal,viernes,normal
69,2024-03-01 19:49:13,Colegiales,1.83,24200,normal,viernes,normal
70,2024-03-01 19:51:06,Once,1.25,21700,normal,viernes,express
71,2024-03-01 19:52:44,Palermo,2.06,18600,normal,viernes,normal
72,2024-03-01 19:58:44,Almagro,0.48,23000,normal,viernes,normal
73,2024-03-01 20:02:14,Villa Crespo,0.48,14300,normal,viernes,normal
74,2024-03-01 20:15:31,Almagro,1.08,27500,normal,viernes,normal
75,2024-03-01 20:19:23,Palermo,2.21,23400,normal,viernes,normal
76,2024-03-01 20:27:28,Palermo,2.28,25400,normal,viernes,normal
77,2024-03-01 20:31:07,Caballito,2.55,21300,normal,viernes,normal
78,2024-03-01 20:34:29,Almagro,0.7,19100,normal,viernes,normal
79,2024-03-01 20:37:08,Caballito,2.18,17700,normal,viernes,normal
80,2024-03-01 20:38:04,Villa Ortuzar,1.87,13700,normal,viernes,normal
81,2024-03-01 20:43:43,Almagro,0.81,15600,normal,viernes,normal
82,2024-03-01 20:44:42,Once,1.28,18900,normal,viernes,normal
83,2024-03-01 20:47:42,Once,1.13,18800,normal,viernes,normal
84,2024-03-01 20:47:53,Caballito,2.24,17100,normal,viernes,normal
85,2024-03-01 21:03:51,Caballito,1.72,16000,normal,viernes,normal
86,2024-03-01 21:06:02,Almagro,0.6,9100,normal,viernes,normal
87,2024-03-01 21:14:45,Almagro,0.63,11900,normal,viernes,normal
88,2024-03-01 21:17:12,Villa Crespo,0.52,10900,normal,viernes,express
89,2024-03-01 21:25:00,Villa Ortuzar,2.02,12100,normal,viernes,normal
90,2024-03-01 21:28:16,Caballito,1.49,9100,normal,viernes,normal
91,2024-03-01 21:33:42,Palermo,2.78,18300,normal,viernes,normal
92,2024-03-01 21:47:26,Once,1.21,15300,normal,viernes,normal
93,2024-03-01 21:48:42,Colegiales,1.95,19000,normal,viernes,normal
94,2024-03-01 21:54:03,Palermo,1.88,25600,normal,viernes,normal
95,2024-03-01 22:00:20,Palermo,2.16,20700,normal,viernes,normal
